Drzava,Ime,Simbol,Trenutna_cena,Dnevna_sprem.,Dobiček,Volumen_delnice,Link_za_več
India,Reliance Industries Limited,500325,1387.65,0.17%,"9,765.41B",18.74T,https://stockanalysis.com/quote/bom/500325/
India,HDFC Bank Limited,500180,973.05,-0.94%,"2,736.06B",14.71T,https://stockanalysis.com/quote/bom/500180/
India,Bharti Airtel Limited,890157,1447.85,-1.18%,"1,839.41B",11.42T,https://stockanalysis.com/quote/bom/890157/
India,Tata Consultancy Services Limited,532540,3096.65,-1.89%,"2,561.48B",11.42T,https://stockanalysis.com/quote/bom/532540/
India,ICICI Bank Limited,532174,1416.7,-1.15%,"2,054.85B",10.12T,https://stockanalysis.com/quote/bom/532174/
India,State Bank of India,500112,807.8,-0.94%,"3,503.84B","7,456.95B",https://stockanalysis.com/quote/bom/500112/
India,Infosys Limited,500209,1529.85,-0.18%,"1,672.76B","6,340.61B",https://stockanalysis.com/quote/bom/500209/
India,Hindustan Unilever Limited,500696,2692.1,2.38%,639.28B,"6,236.76B",https://stockanalysis.com/quote/bom/500696/
India,Life Insurance Corporation of India,543526,895.5,-0.43%,"9,038.65B","5,618.81B",https://stockanalysis.com/quote/bom/543526/
India,Bajaj Finance Limited,500034,876.5,-2.67%,387.76B,"5,443.59B",https://stockanalysis.com/quote/bom/500034/
India,ITC Limited,500875,403.1,0.93%,790.40B,"5,021.94B",https://stockanalysis.com/quote/bom/500875/
India,Larsen & Toubro Limited,500510,3539.6,-1.76%,"2,688.02B","4,868.19B",https://stockanalysis.com/quote/bom/500510/
India,Maruti Suzuki India Limited,532500,14760.6,0.34%,"1,557.39B","4,638.07B",https://stockanalysis.com/quote/bom/532500/
India,HCL Technologies Limited,532281,1492.25,-0.82%,"1,202.51B","4,044.45B",https://stockanalysis.com/quote/bom/532281/
India,Kotak Mahindra Bank Limited,500247,1946.1,-0.98%,750.73B,"3,869.86B",https://stockanalysis.com/quote/bom/500247/
India,Sun Pharmaceutical Industries Limited,524715,1600.45,-3.40%,537.77B,"3,804.63B",https://stockanalysis.com/quote/bom/524715/
India,Mahindra & Mahindra Limited,500520,3330.9,-2.02%,"1,696.86B","3,718.22B",https://stockanalysis.com/quote/bom/500520/
India,UltraTech Cement Limited,532538,12608.4,0.03%,784.12B,"3,709.53B",https://stockanalysis.com/quote/bom/532538/
India,Axis Bank Limited,532215,1050.15,-1.86%,769.37B,"3,264.80B",https://stockanalysis.com/quote/bom/532215/
India,NTPC Limited,532555,330.95,-0.69%,"1,866.75B","3,230.93B",https://stockanalysis.com/quote/bom/532555/
Japan,Toyota Motor Corporation,7203,2919.0,0.50%,48.45T,37.86T,https://stockanalysis.com/quote/tyo/7203/
Japan,"Mitsubishi UFJ Financial Group, Inc.",8306,2267.5,0.80%,"5,440.78B",25.78T,https://stockanalysis.com/quote/tyo/8306/
Japan,Sony Group Corporation,6758,4143.0,1.12%,13.01T,24.71T,https://stockanalysis.com/quote/tyo/6758/
Japan,SoftBank Group Corp.,9984,15910.0,3.21%,"7,362.35B",22.61T,https://stockanalysis.com/quote/tyo/9984/
Japan,"Hitachi, Ltd.",6501,4114.0,1.78%,"9,830.27B",18.77T,https://stockanalysis.com/quote/tyo/6501/
Japan,"Sumitomo Mitsui Financial Group, Inc.",8316,4063.0,-0.10%,"3,346.44B",15.64T,https://stockanalysis.com/quote/tyo/8316/
Japan,"Nintendo Co., Ltd.",7974,13430.0,0.41%,"1,490.65B",15.57T,https://stockanalysis.com/quote/tyo/7974/
